2023-07-04 17:01:34.777211: I tensorflow/core/platform/cpu_feature_guard.cc:182] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 AVX512F FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
INFO:rademacher:Validate - Epoch: 47, Loss: -1.814990, Metrics:
INFO:rademacher:Train - Epoch: 48, Loss: -1.845246, Metrics:
INFO:rademacher:Validate - Epoch: 48, Loss: -1.845246, Metrics:
INFO:rademacher:Train - Epoch: 49, Loss: -1.875808, Metrics:
INFO:rademacher:Validate - Epoch: 49, Loss: -1.875808, Metrics:
INFO:rademacher:Train - Epoch: 50, Loss: -1.906787, Metrics:
INFO:rademacher:Validate - Epoch: 50, Loss: -1.906787, Metrics:
INFO:rademacher:Train - Epoch: 51, Loss: -1.937943, Metrics:
INFO:rademacher:Validate - Epoch: 51, Loss: -1.937943, Metrics:
INFO:rademacher:Train - Epoch: 52, Loss: -1.968936, Metrics:
INFO:rademacher:Validate - Epoch: 52, Loss: -1.968936, Metrics:
INFO:rademacher:Train - Epoch: 53, Loss: -1.999659, Metrics:
INFO:rademacher:Validate - Epoch: 53, Loss: -1.999659, Metrics:
INFO:rademacher:Train - Epoch: 54, Loss: -2.030138, Metrics:
INFO:rademacher:Validate - Epoch: 54, Loss: -2.030138, Metrics:
INFO:rademacher:Train - Epoch: 55, Loss: -2.060416, Metrics:
INFO:rademacher:Validate - Epoch: 55, Loss: -2.060416, Metrics:
INFO:rademacher:Train - Epoch: 56, Loss: -2.090692, Metrics:
INFO:rademacher:Validate - Epoch: 56, Loss: -2.090692, Metrics:
INFO:rademacher:Train - Epoch: 57, Loss: -2.121194, Metrics:
INFO:rademacher:Validate - Epoch: 57, Loss: -2.121194, Metrics:
INFO:rademacher:Train - Epoch: 58, Loss: -2.151895, Metrics:
INFO:rademacher:Validate - Epoch: 58, Loss: -2.151895, Metrics:
INFO:rademacher:Train - Epoch: 59, Loss: -2.182641, Metrics:
INFO:rademacher:Validate - Epoch: 59, Loss: -2.182641, Metrics:
INFO:rademacher:Train - Epoch: 60, Loss: -2.213339, Metrics:
INFO:rademacher:Validate - Epoch: 60, Loss: -2.213339, Metrics:
INFO:rademacher:Train - Epoch: 61, Loss: -2.243882, Metrics:
INFO:rademacher:Validate - Epoch: 61, Loss: -2.243882, Metrics:
INFO:rademacher:Train - Epoch: 62, Loss: -2.274230, Metrics:
INFO:rademacher:Validate - Epoch: 62, Loss: -2.274230, Metrics:
INFO:rademacher:Train - Epoch: 63, Loss: -2.304531, Metrics:
INFO:rademacher:Validate - Epoch: 63, Loss: -2.304531, Metrics:
INFO:rademacher:Train - Epoch: 64, Loss: -2.334915, Metrics:
INFO:rademacher:Validate - Epoch: 64, Loss: -2.334915, Metrics:
INFO:rademacher:Train - Epoch: 65, Loss: -2.365390, Metrics:
INFO:rademacher:Validate - Epoch: 65, Loss: -2.365390, Metrics:
INFO:rademacher:Train - Epoch: 66, Loss: -2.395945, Metrics:
INFO:rademacher:Validate - Epoch: 66, Loss: -2.395945, Metrics:
INFO:rademacher:Train - Epoch: 67, Loss: -2.426496, Metrics:
INFO:rademacher:Validate - Epoch: 67, Loss: -2.426496, Metrics:
INFO:rademacher:Train - Epoch: 68, Loss: -2.456929, Metrics:
INFO:rademacher:Validate - Epoch: 68, Loss: -2.456929, Metrics:
INFO:rademacher:Train - Epoch: 69, Loss: -2.487266, Metrics:
INFO:rademacher:Validate - Epoch: 69, Loss: -2.487266, Metrics:
INFO:rademacher:Train - Epoch: 70, Loss: -2.517575, Metrics:
INFO:rademacher:Validate - Epoch: 70, Loss: -2.517575, Metrics:
INFO:rademacher:Train - Epoch: 71, Loss: -2.547903, Metrics:
INFO:rademacher:Validate - Epoch: 71, Loss: -2.547903, Metrics:
INFO:rademacher:Train - Epoch: 72, Loss: -2.578306, Metrics:
INFO:rademacher:Validate - Epoch: 72, Loss: -2.578306, Metrics:
INFO:rademacher:Train - Epoch: 73, Loss: -2.608745, Metrics:
INFO:rademacher:Validate - Epoch: 73, Loss: -2.608745, Metrics:
INFO:rademacher:Train - Epoch: 74, Loss: -2.639142, Metrics:
INFO:rademacher:Validate - Epoch: 74, Loss: -2.639142, Metrics:
INFO:rademacher:Train - Epoch: 75, Loss: -2.669484, Metrics:
INFO:rademacher:Validate - Epoch: 75, Loss: -2.669484, Metrics:
INFO:rademacher:Train - Epoch: 76, Loss: -2.699770, Metrics:
INFO:rademacher:Validate - Epoch: 76, Loss: -2.699770, Metrics:
INFO:rademacher:Train - Epoch: 77, Loss: -2.730046, Metrics:
INFO:rademacher:Validate - Epoch: 77, Loss: -2.730046, Metrics:
INFO:rademacher:Train - Epoch: 78, Loss: -2.760364, Metrics:
INFO:rademacher:Validate - Epoch: 78, Loss: -2.760364, Metrics:
INFO:rademacher:Train - Epoch: 79, Loss: -2.790704, Metrics:
INFO:rademacher:Validate - Epoch: 79, Loss: -2.790704, Metrics:
INFO:rademacher:Train - Epoch: 80, Loss: -2.821040, Metrics:
INFO:rademacher:Validate - Epoch: 80, Loss: -2.821040, Metrics:
INFO:rademacher:Train - Epoch: 81, Loss: -2.851340, Metrics:
