2023-07-04 10:58:53.078359: I tensorflow/core/platform/cpu_feature_guard.cc:182] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 AVX512F FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
2023-07-04 10:58:53.924423: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Could not find TensorRT
INFO:memory:=============== Model ID: 1 | START ===============
INFO:memory:Train - Epoch: 1, Loss: 0.090396, Metrics:
INFO:memory:Validate - Epoch: 1, Loss: 0.090396, Metrics:
INFO:memory:Train - Epoch: 2, Loss: 0.020351, Metrics:
INFO:memory:Validate - Epoch: 2, Loss: 0.020351, Metrics:
INFO:memory:Train - Epoch: 3, Loss: 0.000156, Metrics:
INFO:memory:Validate - Epoch: 3, Loss: 0.000156, Metrics:
INFO:memory:Train - Epoch: 4, Loss: 0.007120, Metrics:
INFO:memory:Validate - Epoch: 4, Loss: 0.007120, Metrics:
INFO:memory:Train - Epoch: 5, Loss: 0.022515, Metrics:
INFO:memory:Validate - Epoch: 5, Loss: 0.022515, Metrics:
INFO:memory:Train - Epoch: 6, Loss: 0.036379, Metrics:
INFO:memory:Validate - Epoch: 6, Loss: 0.036379, Metrics:
INFO:memory:Train - Epoch: 7, Loss: 0.045301, Metrics:
INFO:memory:Validate - Epoch: 7, Loss: 0.045301, Metrics:
INFO:memory:Train - Epoch: 8, Loss: 0.048900, Metrics:
INFO:memory:Validate - Epoch: 8, Loss: 0.048900, Metrics:
INFO:memory:Train - Epoch: 9, Loss: 0.047813, Metrics:
INFO:memory:Validate - Epoch: 9, Loss: 0.047813, Metrics:
INFO:memory:Train - Epoch: 10, Loss: 0.042954, Metrics:
INFO:memory:Validate - Epoch: 10, Loss: 0.042954, Metrics:
INFO:memory:Train - Epoch: 11, Loss: 0.035338, Metrics:
INFO:memory:Validate - Epoch: 11, Loss: 0.035338, Metrics:
INFO:memory:Train - Epoch: 12, Loss: 0.026119, Metrics:
INFO:memory:Validate - Epoch: 12, Loss: 0.026119, Metrics:
INFO:memory:Train - Epoch: 13, Loss: 0.016622, Metrics:
INFO:memory:Validate - Epoch: 13, Loss: 0.016622, Metrics:
INFO:memory:Train - Epoch: 14, Loss: 0.008288, Metrics:
INFO:memory:Validate - Epoch: 14, Loss: 0.008288, Metrics:
INFO:memory:Train - Epoch: 15, Loss: 0.002466, Metrics:
INFO:memory:Validate - Epoch: 15, Loss: 0.002466, Metrics:
INFO:memory:Train - Epoch: 16, Loss: 0.000052, Metrics:
INFO:memory:Validate - Epoch: 16, Loss: 0.000052, Metrics:
INFO:memory:Train - Epoch: 17, Loss: 0.001095, Metrics:
INFO:memory:Validate - Epoch: 17, Loss: 0.001095, Metrics:
INFO:memory:Train - Epoch: 18, Loss: 0.004612, Metrics:
INFO:memory:Validate - Epoch: 18, Loss: 0.004612, Metrics:
INFO:memory:Train - Epoch: 19, Loss: 0.008856, Metrics:
INFO:memory:Validate - Epoch: 19, Loss: 0.008856, Metrics:
INFO:memory:Train - Epoch: 20, Loss: 0.011998, Metrics:
INFO:memory:Validate - Epoch: 20, Loss: 0.011998, Metrics:
INFO:memory:Train - Epoch: 21, Loss: 0.012885, Metrics:
INFO:memory:Validate - Epoch: 21, Loss: 0.012885, Metrics:
INFO:memory:Train - Epoch: 22, Loss: 0.011405, Metrics:
INFO:memory:Validate - Epoch: 22, Loss: 0.011405, Metrics:
INFO:memory:Train - Epoch: 23, Loss: 0.008331, Metrics:
INFO:memory:Validate - Epoch: 23, Loss: 0.008331, Metrics:
INFO:memory:Train - Epoch: 24, Loss: 0.004834, Metrics:
INFO:memory:Validate - Epoch: 24, Loss: 0.004834, Metrics:
INFO:memory:Train - Epoch: 25, Loss: 0.001967, Metrics:
INFO:memory:Validate - Epoch: 25, Loss: 0.001967, Metrics:
INFO:memory:Train - Epoch: 26, Loss: 0.000339, Metrics:
INFO:memory:Validate - Epoch: 26, Loss: 0.000339, Metrics:
INFO:memory:Train - Epoch: 27, Loss: 0.000037, Metrics:
INFO:memory:Validate - Epoch: 27, Loss: 0.000037, Metrics:
INFO:memory:Train - Epoch: 28, Loss: 0.000746, Metrics:
INFO:memory:Validate - Epoch: 28, Loss: 0.000746, Metrics:
INFO:memory:Train - Epoch: 29, Loss: 0.001960, Metrics:
INFO:memory:Validate - Epoch: 29, Loss: 0.001960, Metrics:
INFO:memory:Train - Epoch: 30, Loss: 0.003171, Metrics:
INFO:memory:Validate - Epoch: 30, Loss: 0.003171, Metrics:
INFO:memory:Train - Epoch: 31, Loss: 0.004000, Metrics:
INFO:memory:Validate - Epoch: 31, Loss: 0.004000, Metrics:
INFO:memory:Train - Epoch: 32, Loss: 0.004247, Metrics:
INFO:memory:Validate - Epoch: 32, Loss: 0.004247, Metrics:
INFO:memory:Train - Epoch: 33, Loss: 0.003895, Metrics:
INFO:memory:Validate - Epoch: 33, Loss: 0.003895, Metrics:
INFO:memory:Train - Epoch: 34, Loss: 0.003080, Metrics:
INFO:memory:Validate - Epoch: 34, Loss: 0.003080, Metrics:
INFO:memory:Train - Epoch: 35, Loss: 0.002036, Metrics:
INFO:memory:Validate - Epoch: 35, Loss: 0.002036, Metrics:
INFO:memory:Train - Epoch: 36, Loss: 0.001034, Metrics:
INFO:memory:Validate - Epoch: 36, Loss: 0.001034, Metrics:
INFO:memory:Train - Epoch: 37, Loss: 0.000312, Metrics:
INFO:memory:Validate - Epoch: 37, Loss: 0.000312, Metrics:
INFO:memory:Train - Epoch: 38, Loss: 0.000008, Metrics:
INFO:memory:Validate - Epoch: 38, Loss: 0.000008, Metrics:
INFO:memory:Train - Epoch: 39, Loss: 0.000124, Metrics:
INFO:memory:Validate - Epoch: 39, Loss: 0.000124, Metrics:
INFO:memory:Train - Epoch: 40, Loss: 0.000527, Metrics:
INFO:memory:Validate - Epoch: 40, Loss: 0.000527, Metrics:
INFO:memory:Train - Epoch: 41, Loss: 0.001007, Metrics:
INFO:memory:Validate - Epoch: 41, Loss: 0.001007, Metrics:
INFO:memory:Train - Epoch: 42, Loss: 0.001352, Metrics:
INFO:memory:Validate - Epoch: 42, Loss: 0.001352, Metrics:
INFO:memory:Train - Epoch: 43, Loss: 0.001433, Metrics:
INFO:memory:Validate - Epoch: 43, Loss: 0.001433, Metrics:
INFO:memory:Train - Epoch: 44, Loss: 0.001239, Metrics:
INFO:memory:Validate - Epoch: 44, Loss: 0.001239, Metrics:
INFO:memory:Train - Epoch: 45, Loss: 0.000863, Metrics:
INFO:memory:Validate - Epoch: 45, Loss: 0.000863, Metrics:
INFO:memory:Train - Epoch: 46, Loss: 0.000454, Metrics:
INFO:memory:Validate - Epoch: 46, Loss: 0.000454, Metrics:
INFO:memory:Train - Epoch: 47, Loss: 0.000144, Metrics:
INFO:memory:Validate - Epoch: 47, Loss: 0.000144, Metrics:
INFO:memory:Train - Epoch: 48, Loss: 0.000006, Metrics:
INFO:memory:Validate - Epoch: 48, Loss: 0.000006, Metrics:
INFO:memory:Train - Epoch: 49, Loss: 0.000040, Metrics:
INFO:memory:Validate - Epoch: 49, Loss: 0.000040, Metrics:
INFO:memory:Train - Epoch: 50, Loss: 0.000187, Metrics:
INFO:memory:Validate - Epoch: 50, Loss: 0.000187, Metrics:
INFO:memory:Train - Epoch: 51, Loss: 0.000362, Metrics:
INFO:memory:Validate - Epoch: 51, Loss: 0.000362, Metrics:
INFO:memory:Train - Epoch: 52, Loss: 0.000489, Metrics:
INFO:memory:Validate - Epoch: 52, Loss: 0.000489, Metrics:
INFO:memory:Train - Epoch: 53, Loss: 0.000522, Metrics:
INFO:memory:Validate - Epoch: 53, Loss: 0.000522, Metrics:
INFO:memory:Train - Epoch: 54, Loss: 0.000457, Metrics:
INFO:memory:Validate - Epoch: 54, Loss: 0.000457, Metrics:
INFO:memory:Train - Epoch: 55, Loss: 0.000325, Metrics:
INFO:memory:Validate - Epoch: 55, Loss: 0.000325, Metrics:
INFO:memory:Train - Epoch: 56, Loss: 0.000175, Metrics:
INFO:memory:Validate - Epoch: 56, Loss: 0.000175, Metrics:
INFO:memory:Train - Epoch: 57, Loss: 0.000057, Metrics:
INFO:memory:Validate - Epoch: 57, Loss: 0.000057, Metrics:
INFO:memory:Train - Epoch: 58, Loss: 0.000003, Metrics:
INFO:memory:Validate - Epoch: 58, Loss: 0.000003, Metrics:
INFO:memory:Train - Epoch: 59, Loss: 0.000016, Metrics:
INFO:memory:Validate - Epoch: 59, Loss: 0.000016, Metrics:
INFO:memory:Train - Epoch: 60, Loss: 0.000075, Metrics:
INFO:memory:Validate - Epoch: 60, Loss: 0.000075, Metrics:
INFO:memory:Train - Epoch: 61, Loss: 0.000144, Metrics:
INFO:memory:Validate - Epoch: 61, Loss: 0.000144, Metrics:
INFO:memory:Train - Epoch: 62, Loss: 0.000189, Metrics:
INFO:memory:Validate - Epoch: 62, Loss: 0.000189, Metrics:
INFO:memory:Train - Epoch: 63, Loss: 0.000192, Metrics:
INFO:memory:Validate - Epoch: 63, Loss: 0.000192, Metrics:
INFO:memory:Train - Epoch: 64, Loss: 0.000154, Metrics:
INFO:memory:Validate - Epoch: 64, Loss: 0.000154, Metrics:
INFO:memory:Train - Epoch: 65, Loss: 0.000096, Metrics:
INFO:memory:Validate - Epoch: 65, Loss: 0.000096, Metrics:
INFO:memory:Train - Epoch: 66, Loss: 0.000040, Metrics:
INFO:memory:Validate - Epoch: 66, Loss: 0.000040, Metrics:
INFO:memory:Train - Epoch: 67, Loss: 0.000006, Metrics:
INFO:memory:Validate - Epoch: 67, Loss: 0.000006, Metrics:
INFO:memory:Train - Epoch: 68, Loss: 0.000001, Metrics:
INFO:memory:Validate - Epoch: 68, Loss: 0.000001, Metrics:
INFO:memory:Train - Epoch: 69, Loss: 0.000020, Metrics:
INFO:memory:Validate - Epoch: 69, Loss: 0.000020, Metrics:
INFO:memory:Train - Epoch: 70, Loss: 0.000047, Metrics:
INFO:memory:Validate - Epoch: 70, Loss: 0.000047, Metrics:
INFO:memory:Train - Epoch: 71, Loss: 0.000069, Metrics:
INFO:memory:Validate - Epoch: 71, Loss: 0.000069, Metrics:
INFO:memory:Train - Epoch: 72, Loss: 0.000076, Metrics:
INFO:memory:Validate - Epoch: 72, Loss: 0.000076, Metrics:
INFO:memory:Train - Epoch: 73, Loss: 0.000065, Metrics:
INFO:memory:Validate - Epoch: 73, Loss: 0.000065, Metrics:
INFO:memory:Train - Epoch: 74, Loss: 0.000044, Metrics:
INFO:memory:Validate - Epoch: 74, Loss: 0.000044, Metrics:
INFO:memory:Train - Epoch: 75, Loss: 0.000021, Metrics:
INFO:memory:Validate - Epoch: 75, Loss: 0.000021, Metrics:
INFO:memory:Train - Epoch: 76, Loss: 0.000005, Metrics:
INFO:memory:Validate - Epoch: 76, Loss: 0.000005, Metrics:
INFO:memory:Train - Epoch: 77, Loss: 0.000000, Metrics:
INFO:memory:Validate - Epoch: 77, Loss: 0.000000, Metrics:
INFO:memory:Train - Epoch: 78, Loss: 0.000006, Metrics:
INFO:memory:Validate - Epoch: 78, Loss: 0.000006, Metrics:
INFO:memory:Train - Epoch: 79, Loss: 0.000017, Metrics:
INFO:memory:Validate - Epoch: 79, Loss: 0.000017, Metrics:
INFO:memory:Train - Epoch: 80, Loss: 0.000027, Metrics:
INFO:memory:Validate - Epoch: 80, Loss: 0.000027, Metrics:
INFO:memory:Train - Epoch: 81, Loss: 0.000030, Metrics:
INFO:memory:Validate - Epoch: 81, Loss: 0.000030, Metrics:
INFO:memory:Train - Epoch: 82, Loss: 0.000026, Metrics:
INFO:memory:Validate - Epoch: 82, Loss: 0.000026, Metrics:
INFO:memory:Train - Epoch: 83, Loss: 0.000017, Metrics:
INFO:memory:Validate - Epoch: 83, Loss: 0.000017, Metrics:
INFO:memory:Train - Epoch: 84, Loss: 0.000008, Metrics:
INFO:memory:Validate - Epoch: 84, Loss: 0.000008, Metrics:
INFO:memory:Train - Epoch: 85, Loss: 0.000001, Metrics:
INFO:memory:Validate - Epoch: 85, Loss: 0.000001, Metrics:
INFO:memory:Train - Epoch: 86, Loss: 0.000000, Metrics:
INFO:memory:Validate - Epoch: 86, Loss: 0.000000, Metrics:
