2023-07-04 10:59:17.971760: I tensorflow/core/platform/cpu_feature_guard.cc:182] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 AVX512F FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
2023-07-04 10:59:18.816725: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Could not find TensorRT
INFO:fat:=============== Model ID: 1 | START ===============
INFO:fat:Train - Epoch: 1, Loss: 6.989105, Metrics:
INFO:fat:Validate - Epoch: 1, Loss: 6.989105, Metrics:
INFO:fat:Train - Epoch: 2, Loss: 6.150597, Metrics:
INFO:fat:Validate - Epoch: 2, Loss: 6.150597, Metrics:
INFO:fat:Train - Epoch: 3, Loss: 5.447059, Metrics:
INFO:fat:Validate - Epoch: 3, Loss: 5.447059, Metrics:
INFO:fat:Train - Epoch: 4, Loss: 4.882649, Metrics:
INFO:fat:Validate - Epoch: 4, Loss: 4.882649, Metrics:
INFO:fat:Train - Epoch: 5, Loss: 4.450418, Metrics:
INFO:fat:Validate - Epoch: 5, Loss: 4.450418, Metrics:
INFO:fat:Train - Epoch: 6, Loss: 4.135505, Metrics:
INFO:fat:Validate - Epoch: 6, Loss: 4.135505, Metrics:
INFO:fat:Train - Epoch: 7, Loss: 3.918482, Metrics:
INFO:fat:Validate - Epoch: 7, Loss: 3.918482, Metrics:
INFO:fat:Train - Epoch: 8, Loss: 3.778365, Metrics:
INFO:fat:Validate - Epoch: 8, Loss: 3.778365, Metrics:
INFO:fat:Train - Epoch: 9, Loss: 3.695009, Metrics:
INFO:fat:Validate - Epoch: 9, Loss: 3.695009, Metrics:
INFO:fat:Train - Epoch: 10, Loss: 3.650779, Metrics:
INFO:fat:Validate - Epoch: 10, Loss: 3.650779, Metrics:
INFO:fat:Train - Epoch: 11, Loss: 3.631507, Metrics:
INFO:fat:Validate - Epoch: 11, Loss: 3.631507, Metrics:
INFO:fat:Train - Epoch: 12, Loss: 3.626679, Metrics:
INFO:fat:Validate - Epoch: 12, Loss: 3.626679, Metrics:
INFO:fat:Train - Epoch: 13, Loss: 3.629094, Metrics:
INFO:fat:Validate - Epoch: 13, Loss: 3.629094, Metrics:
